Anno,Regione,Settore__attività_economica,Nazionalità,sesso,Tipologia_variazione,Classe_di_età,Presenza_part_time,tipologia_incentivo,Numero_variazioni
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Apprendisti trasformati a tempo indeterminato,30 - 50,Part time si,Apprendistato,21.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Femmine,Apprendisti trasformati a tempo indeterminato,30 - 50,Part time no,Apprendistato,87.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,6.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Altro,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,54.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Esonero giovani,409.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Nessuna agevolazione,956.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Esonero giovani,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time si,Nessuna agevolazione,181.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Esonero giovani,38.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Altro,6.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,30 - 50,Part time no,Nessuna agevolazione,2456.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Altro,13.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time si,Nessuna agevolazione,159.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Altro,28.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato di rapporti a termine,51 ed oltre,Part time no,Nessuna agevolazione,841.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time si,Esonero giovani,38.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time si,Nessuna agevolazione,12.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time no,Esonero giovani,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,Fino a 29,Part time no,Nessuna agevolazione,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time si,Esonero giovani,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time si,Nessuna agevolazione,45.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time no,Esonero giovani,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,30 - 50,Part time no,Nessuna agevolazione,9.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,51 ed oltre,Part time si,Nessuna agevolazione,4.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti stagionali,51 ed oltre,Part time no,Nessuna agevolazione,2.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti intermittenti,Fino a 29,Part time no,Nessuna agevolazione,5.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Trasformazioni a tempo indeterminato da rapporti intermittenti,51 ed oltre,Part time no,Nessuna agevolazione,12.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time si,Apprendistato,36.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,Fino a 29,Part time no,Apprendistato,870.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,30 - 50,Part time si,Apprendistato,4.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,30 - 50,Part time no,Apprendistato,164.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati a tempo indeterminato,51 ed oltre,Part time no,Apprendistato,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Italiana,Maschi,Apprendisti trasformati da rapporti stagionali,Fino a 29,Part time no,Apprendistato,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Esonero giovani,1.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time si,Nessuna agevolazione,17.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Esonero giovani,19.0
2019,Piemonte,"Attivita' estrattiva; attivita' manifatturiere; fornitura di energia elettrica, gas, vapore e aria condizionata; fornitura di acqua; reti fognarie, attivita' di trattamento dei rifiuti e risanamento",Straniera,Femmine,Trasformazioni a tempo indeterminato di rapporti a termine,Fino a 29,Part time no,Altro,1.0
