"Lavoratori dipendenti del settore privato agricolo";"Totale";"";"6.002 ";"5.565,51 ";"122 ";"7.939,56 ";"997 ";"8.200,33 ";"5.132 ";"11.002,40 ";"1.593 ";"6.780,52 ";"5.529 ";"6.667,50 ";"1.018 ";"6.486,78 ";"8.181 ";"8.317,67 ";"5.368 ";"7.859,70 ";"1.511 ";"9.414,45 ";"1.580 ";"7.891,62 ";"6.146 ";"6.185,89 ";"1.840 ";"5.727,44 ";"511 ";"3.619,21 ";"4.280 ";"5.569,82 ";"9.433 ";"4.210,46 ";"2.171 ";"3.849,01 ";"3.295 ";"3.033,43 ";"6.759 ";"4.987,96 ";"460 ";"4.994,12 ";"- ";"- ";"71.928 ";"6.374,97 "
" -Lavoratori dipendenti del settore privato non agricolo";"Apprendisti";"";"4.821 ";"12.369,99 ";"237 ";"10.412,27 ";"2.779 ";"10.798,65 ";"14.567 ";"11.894,70 ";"1.532 ";"12.368,66 ";"8.822 ";"12.914,41 ";"1.600 ";"12.181,59 ";"10.117 ";"12.601,90 ";"7.279 ";"11.651,76 ";"1.511 ";"11.691,37 ";"2.778 ";"12.223,07 ";"5.218 ";"10.359,37 ";"703 ";"10.995,74 ";"35 ";"9.643,94 ";"904 ";"8.782,08 ";"983 ";"8.500,30 ";"121 ";"9.897,98 ";"305 ";"7.359,40 ";"903 ";"7.723,50 ";"148 ";"9.188,77 ";"8 ";"13.487,63 ";"65.371 ";"11.809,26 "
" ";"Dirigenti";"";"9 ";"56.689,44 ";"- ";"- ";"* ";"175.023,00 ";"39 ";"98.907,72 ";"- ";"- ";"4 ";"37.135,25 ";"- ";"- ";"* ";"89.622,00 ";"* ";"70.913,00 ";"- ";"- ";"3 ";"80.508,00 ";"13 ";"103.309,23 ";"* ";"66.395,00 ";"- ";"- ";"* ";"66.864,00 ";"* ";"61.530,00 ";"- ";"- ";"- ";"- ";"* ";"64.829,50 ";"- ";"- ";"- ";"- ";"78 ";"90.068,49 "
" ";"Impiegati";"";"4.625 ";"17.923,62 ";"60 ";"15.279,20 ";"1.324 ";"16.211,18 ";"21.325 ";"18.465,41 ";"2.046 ";"16.723,02 ";"6.118 ";"17.180,62 ";"1.231 ";"18.443,36 ";"6.353 ";"18.150,97 ";"4.673 ";"15.856,68 ";"343 ";"14.669,47 ";"855 ";"12.891,03 ";"6.190 ";"14.399,29 ";"321 ";"13.112,71 ";"34 ";"8.761,85 ";"987 ";"13.231,35 ";"536 ";"12.988,60 ";"60 ";"10.551,17 ";"265 ";"13.953,21 ";"854 ";"10.623,52 ";"273 ";"17.544,30 ";"79 ";"33.875,51 ";"58.552 ";"17.097,21 "
" ";"Operai";"";"27.021 ";"12.429,41 ";"998 ";"10.665,84 ";"12.967 ";"10.911,18 ";"127.882 ";"12.721,56 ";"14.186 ";"14.382,07 ";"55.290 ";"13.863,47 ";"10.579 ";"13.422,86 ";"58.623 ";"13.468,31 ";"42.677 ";"11.710,14 ";"5.301 ";"11.026,84 ";"13.206 ";"11.607,93 ";"33.871 ";"9.511,12 ";"6.239 ";"8.959,38 ";"700 ";"6.835,37 ";"16.609 ";"7.550,10 ";"8.752 ";"7.741,53 ";"1.210 ";"7.660,34 ";"3.008 ";"6.569,53 ";"6.946 ";"7.691,28 ";"3.016 ";"7.765,75 ";"54 ";"12.272,69 ";"449.135 ";"12.047,51 "
" ";"Quadri";"";"53 ";"60.523,45 ";"- ";"- ";"3 ";"25.330,00 ";"534 ";"60.643,25 ";"10 ";"31.901,50 ";"36 ";"44.853,56 ";"4 ";"41.139,75 ";"30 ";"44.518,13 ";"27 ";"58.795,19 ";"3 ";"50.154,00 ";"* ";"47.894,00 ";"128 ";"61.592,44 ";"- ";"- ";"- ";"- ";"8 ";"89.410,00 ";"3 ";"21.979,00 ";"* ";"62.327,00 ";"- ";"- ";"5 ";"92.639,60 ";"* ";"35.891,00 ";"15 ";"56.517,87 ";"863 ";"59.106,64 "
" ";"Altro";"";"244 ";"4.813,01 ";"* ";"12.528,50 ";"21 ";"8.595,48 ";"185 ";"9.126,07 ";"7 ";"6.599,57 ";"75 ";"8.506,36 ";"7 ";"3.649,71 ";"41 ";"4.867,32 ";"8 ";"10.089,25 ";"9 ";"7.421,67 ";"3 ";"6.734,33 ";"93 ";"8.111,37 ";"- ";"- ";"- ";"- ";"3 ";"1.933,00 ";"- ";"- ";"- ";"- ";"- ";"- ";"* ";"3.521,00 ";"12 ";"8.565,08 ";"- ";"- ";"712 ";"7.043,87 "
"Lavoratori dipendenti del settore privato non agricolo";"Totale";"";"36.773 ";"13.142,25 ";"1.297 ";"10.835,80 ";"17.096 ";"11.322,23 ";"164.532 ";"13.564,73 ";"17.781 ";"14.484,75 ";"70.345 ";"14.044,41 ";"13.421 ";"13.738,53 ";"75.166 ";"13.757,20 ";"54.665 ";"12.080,94 ";"7.167 ";"11.353,12 ";"16.847 ";"11.790,19 ";"45.513 ";"10.443,59 ";"7.264 ";"9.347,90 ";"769 ";"7.048,37 ";"18.512 ";"7.950,84 ";"10.275 ";"8.097,23 ";"1.392 ";"8.018,73 ";"3.578 ";"7.183,72 ";"8.712 ";"8.042,97 ";"3.450 ";"8.611,51 ";"156 ";"27.529,22 ";"574.711 ";"12.609,93 "
" -Lavoratori domestici";"Badanti";"";"1.304 ";"7.557,19 ";"47 ";"7.637,51 ";"896 ";"7.800,69 ";"3.011 ";"8.298,52 ";"252 ";"8.261,26 ";"1.124 ";"7.445,77 ";"364 ";"7.313,50 ";"1.272 ";"8.028,24 ";"1.560 ";"7.989,42 ";"376 ";"7.279,55 ";"553 ";"7.180,05 ";"1.316 ";"7.522,61 ";"217 ";"6.503,69 ";"25 ";"4.360,12 ";"632 ";"6.111,61 ";"325 ";"6.297,31 ";"43 ";"5.657,05 ";"210 ";"5.739,09 ";"513 ";"6.439,38 ";"324 ";"7.216,02 ";"- ";"- ";"14.364 ";"7.595,72 "
" ";"Colf";"";"1.511 ";"6.411,03 ";"24 ";"5.030,96 ";"999 ";"6.531,61 ";"7.176 ";"7.413,76 ";"164 ";"5.883,60 ";"1.846 ";"6.366,24 ";"199 ";"5.990,82 ";"2.151 ";"6.495,29 ";"1.703 ";"6.552,31 ";"412 ";"5.749,55 ";"445 ";"5.862,28 ";"4.809 ";"6.876,66 ";"241 ";"5.015,73 ";"30 ";"4.935,83 ";"2.369 ";"6.141,11 ";"653 ";"5.848,83 ";"42 ";"6.141,95 ";"499 ";"6.035,89 ";"1.801 ";"6.335,82 ";"298 ";"6.291,65 ";"- ";"- ";"27.372 ";"6.682,03 "
"Lavoratori domestici";"Totale";"";"2.815 ";"6.941,97 ";"71 ";"6.756,42 ";"1.895 ";"7.131,66 ";"10.187 ";"7.675,27 ";"416 ";"7.323,91 ";"2.970 ";"6.774,79 ";"563 ";"6.845,98 ";"3.423 ";"7.064,94 ";"3.263 ";"7.239,37 ";"788 ";"6.479,60 ";"998 ";"6.592,46 ";"6.125 ";"7.015,44 ";"458 ";"5.720,72 ";"55 ";"4.674,15 ";"3.001 ";"6.134,90 ";"978 ";"5.997,87 ";"85 ";"5.896,65 ";"709 ";"5.947,98 ";"2.314 ";"6.358,78 ";"622 ";"6.773,15 ";"- ";"- ";"41.736 ";"6.996,49 "
"Totale";"Totale";"";"45.590 ";"11.761,91 ";"1.490 ";"10.404,27 ";"19.988 ";"10.769,21 ";"179.851 ";"13.158,03 ";"19.790 ";"13.714,07 ";"78.844 ";"13.253,26 ";"15.002 ";"12.987,78 ";"86.770 ";"12.980,33 ";"63.296 ";"11.473,35 ";"9.466 ";"10.637,97 ";"19.425 ";"11.206,04 ";"57.784 ";"9.627,36 ";"9.562 ";"8.477,49 ";"1.335 ";"5.637,97 ";"25.793 ";"7.344,46 ";"20.686 ";"6.225,57 ";"3.648 ";"5.487,80 ";"7.582 ";"5.264,53 ";"17.785 ";"6.662,82 ";"4.532 ";"7.992,04 ";"156 ";"27.529,22 ";"688.375 ";"11.618,10 "
